component,label,period,p5,p17,p50,p83,p95,mu,sigma
GIC,observations,1850-2018,-0.009956389505501179,0.062250375172012595,0.16251957604326078,0.2637849371749614,0.33676492432360333,0.16265122555992562,0.10550773885744057
GIC,models,2016-2050,2.215418352210978,2.4906249671143623,2.7829375454038896,3.131632586689333,3.3864341997633827,2.789294207758305,0.3612708536075329
GIC,models,2051-2100,0.5025189980988775,0.5923860472632179,0.7108978142901805,0.8281609534509766,0.9235680545716751,0.7113669326047141,0.12953480433324613
GrIS,observations,1901-2018,0.15808551329113782,0.2603150213655959,0.40137480990738766,0.5492740175815316,0.6529253964054897,0.4037205640180556,0.15042661109523703
GrIS,models,2016-2050,0.18598195699256304,0.4203540202862579,0.6688580043148709,0.9541722194143749,1.2102752207700933,0.6804337550950474,0.3004583633330944
GrIS,models,2051-2100,0.3602086005879213,0.5565335997467304,0.7484857115756601,0.9566061046562824,1.1550317177011433,0.7503372697847616,0.2459478868449699
GrIS,experts,2000-2100,0.0,0.3,1.0000000000000004,2.9000000000000004,4.200000000000002,,
WAIS,models,2016-2050,-0.5365290341906501,-0.25613268932183925,0.008420287210364485,0.2970924010705824,0.5239703681610286,0.005342964214000083,0.31258028315554515
WAIS,models,2051-2100,-0.3301835698892652,-0.16082330047983714,0.09366390578054895,0.3416352356514711,0.5338817364248398,0.09321710314393612,0.2635282712461412
EAIS,models,2016-2050,-0.720287491849303,-0.4955995382732075,-0.23692065732999396,0.039950461413796774,0.23100090778593005,-0.23488254630904368,0.2958273489033379
EAIS,models,2051-2100,-0.41600258951814967,-0.28291469439886174,-0.1007901785677027,0.05334339003942494,0.17913154338315604,-0.1131343363817777,0.1799558614831768
PEN,models,2016-2050,-0.13484891777396454,-0.06315632432375301,0.0025098654964491353,0.07286745724137603,0.1277791479735695,-0.0012931035116029372,0.0808502255174332
PEN,models,2051-2100,-0.07624153058729366,-0.04136567418144493,-0.0010615390794158465,0.04148864458317626,0.06866242260632226,-0.0005407105312983075,0.04614032938448792
AIS,observations,1901-2018,0.14078757571368333,0.2583116393658666,0.42677325128196625,0.5929551580407907,0.7145137071265997,0.42663399196920443,0.17496302694229277
AIS,models,2016-2050,-0.9745099924323242,-0.6257929618073048,-0.20598283458688904,0.14884646735495033,0.49385894342889625,-0.23083268560664638,0.4488955245991241
AIS,models,2051-2100,-0.5330717640199792,-0.3198991494970533,-0.007248977620734511,0.27452640763480485,0.47107012122801684,-0.02045794376913987,0.3084059989683955
AIS,experts,2000-2100,-0.3000000000000001,0.3000000000000001,1.2000000000000004,3.1,7.900000000000002,,
Land Ice,models,2016-2050,2.1865265123424193,2.7379102432998317,3.2059252496582022,3.8440757676495902,4.332855552737061,3.238895277246708,0.6598464885439517
Land Ice,models,2051-2100,0.8012229506110625,1.0537355745151253,1.4473282511620709,1.8206565934801973,2.143802184014429,1.4412462586203367,0.42272944166666543
Steric,observations,1901-2018,0.6514165583584642,0.9680679599960703,1.4013441090071992,1.8487414327749898,2.186666481194714,1.4082826728545366,0.4665115654220225
Steric,models,1850-2014,0.7918114434879733,1.1251508647263573,1.6546521090318436,2.048403054266587,2.345332406634358,1.6586645083675513,0.47666386116648407
Steric,models,2016-2050,1.2194861764102252,1.5049456118010813,1.7480310435410547,2.7156154093799443,3.6508909555781774,2.062860446339588,0.7862886982419668
Steric,models,2051-2100,1.285075229409261,1.3869589786893384,1.5560535980082912,1.6232408581748177,1.718072405071391,1.5217244396893796,0.1521971201638
All but GIC,observations,1850-2018,2.4628709457451503,2.735715342638991,3.1290876236403453,3.5170158696229747,3.7994298631914227,3.129303883883335,0.40762526211059247
All but GIC,models,2016-2050,1.075777071861056,1.6629927731218725,2.4144627820393074,3.333349066717352,4.280348863193574,2.4953291123704706,0.9553830683827211
All but GIC,models,2051-2100,1.5606572649653616,1.8583296694386848,2.252651507090792,2.624179476669944,2.8707437910058617,2.24533650053867,0.41800274935346843
GMSL,observations,1850-2018,2.6441457621498143,2.9057267612355804,3.275050739392064,3.6556103837705773,3.937114875725515,3.2813988433600643,0.3931093429574213
GMSL,models,2016-2050,3.850831305870779,4.388499442065679,5.261364400048001,6.412841063032463,7.366182582147397,5.3860736811898935,1.0885965730180955
GMSL,models,2051-2100,2.230651833078102,2.5529444596028372,2.98627407560502,3.3549292718773347,3.689937389542048,2.9622309426400033,0.4482817279981111
GMSL,experts,2000-2100,2.600000000000001,3.000000000000001,4.200000000000003,7.6,11.2,,
